,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.25024372400002903,247.0,200.0,200,0.6,1024
1,1,0.5287062339999693,282.0,402.0,200,0.6,1024
2,2,0.7810604889999695,282.0,603.0,200,0.6,1024
3,3,1.0461549579999883,282.0,804.0,200,0.6,1024
4,4,1.3613403880000305,283.0,1006.0,200,0.6,1024
5,5,1.6426053390000561,285.0,1208.0,200,0.6,1024
6,6,1.9118171740000207,290.0,1410.0,200,0.6,1024
7,7,2.1890088249999735,290.0,1611.0,200,0.6,1024
8,8,2.443152478000002,292.0,1813.0,200,0.6,1024
9,9,2.6946088350000537,292.0,2014.0,200,0.6,1024
10,10,2.9442099100000405,292.0,2215.0,200,0.6,1024
11,11,3.1896830729999692,292.0,2416.0,200,0.6,1024
12,12,3.4361213140000473,292.0,2617.0,200,0.6,1024
13,13,3.6884183250000433,292.0,2818.0,200,0.6,1024
14,14,3.9594784690000324,292.0,3019.0,200,0.6,1024
15,15,4.245724744999961,292.0,3220.0,200,0.6,1024
16,16,4.52928560600003,292.0,3421.0,200,0.6,1024
17,17,4.857191249000039,304.0,3623.0,200,0.6,1024
18,18,5.107844317000058,304.0,3824.0,200,0.6,1024
19,19,5.3549448410000196,304.0,4025.0,200,0.6,1024
20,20,5.608673769999996,304.0,4226.0,200,0.6,1024
21,21,5.864164203999962,304.0,4427.0,200,0.6,1024
22,22,6.147816703999979,304.0,4628.0,200,0.6,1024
23,23,6.5549271989999625,304.0,4829.0,200,0.6,1024
24,24,6.881465344000048,304.0,5030.0,200,0.6,1024
25,25,7.14662858500003,304.0,5231.0,200,0.6,1024
26,26,7.404180873999962,304.0,5432.0,200,0.6,1024
27,27,7.655561358999989,304.0,5633.0,200,0.6,1024
28,28,7.91275141999995,307.0,5835.0,200,0.6,1024
29,29,8.16524602000004,307.0,6036.0,200,0.6,1024
30,30,8.427182137000045,307.0,6237.0,200,0.6,1024
31,31,8.69845078800006,307.0,6438.0,200,0.6,1024
32,32,8.989111619000028,310.0,6640.0,200,0.6,1024
33,33,9.257582628000023,310.0,6841.0,200,0.6,1024
34,34,9.522092844999975,310.0,7042.0,200,0.6,1024
35,35,9.784759143999963,310.0,7243.0,200,0.6,1024
36,36,10.053125771000055,310.0,7444.0,200,0.6,1024
37,37,10.326064429999974,310.0,7645.0,200,0.6,1024
38,38,10.582712463000007,310.0,7846.0,200,0.6,1024
39,39,10.840223065000032,310.0,8047.0,200,0.6,1024
40,40,11.161900568999954,312.0,8249.0,200,0.6,1024
41,41,11.459097924000048,322.0,8451.0,200,0.6,1024
42,42,11.714830888000051,322.0,8652.0,200,0.6,1024
43,43,11.98588608700004,322.0,8853.0,200,0.6,1024
44,44,12.247382286000061,322.0,9054.0,200,0.6,1024
45,45,12.510527704999959,322.0,9255.0,200,0.6,1024
46,46,12.799701822999964,322.0,9456.0,200,0.6,1024
47,47,13.048638342000004,322.0,9657.0,200,0.6,1024
48,48,13.294847031000018,322.0,9858.0,200,0.6,1024
49,49,13.537189889000047,322.0,10059.0,200,0.6,1024
50,50,13.780073572999981,322.0,10260.0,200,0.6,1024
51,51,14.021115466999959,322.0,10461.0,200,0.6,1024
52,52,14.268629417000056,322.0,10662.0,200,0.6,1024
53,53,14.515157423999995,325.0,10864.0,200,0.6,1024
54,54,14.759505546000014,325.0,11065.0,200,0.6,1024
55,55,15.002415584000005,325.0,11266.0,200,0.6,1024
56,56,15.253308828000058,326.0,11468.0,200,0.6,1024
57,57,15.505994419999979,331.0,11670.0,200,0.6,1024
58,58,15.757721767000021,331.0,11871.0,200,0.6,1024
59,59,16.00208140899997,331.0,12072.0,200,0.6,1024
60,60,16.262974740000004,347.0,12274.0,200,0.6,1024
61,61,16.51713680499995,347.0,12475.0,200,0.6,1024
62,62,16.779245356000047,347.0,12676.0,200,0.6,1024
63,63,17.034281212999986,347.0,12877.0,200,0.6,1024
64,64,17.27879877600003,347.0,13078.0,200,0.6,1024
65,65,17.53308636500003,347.0,13279.0,200,0.6,1024
66,66,17.76689323400001,355.0,13481.0,200,0.6,1024
67,67,18.007636651999974,355.0,13682.0,200,0.6,1024
68,68,18.25280748399996,355.0,13883.0,200,0.6,1024
69,69,18.494998068999962,355.0,14084.0,200,0.6,1024
70,70,18.739437544999987,355.0,14285.0,200,0.6,1024
71,71,18.987104262999992,355.0,14486.0,200,0.6,1024
72,72,19.23045006999996,357.0,14688.0,200,0.6,1024
73,73,19.471941983999955,357.0,14889.0,200,0.6,1024
74,74,19.718291923000038,359.0,15091.0,200,0.6,1024
75,75,19.965086799000005,359.0,15292.0,200,0.6,1024
76,76,20.20738386200003,359.0,15493.0,200,0.6,1024
77,77,20.450789302999965,361.0,15695.0,200,0.6,1024
78,78,20.696175238000023,367.0,15897.0,200,0.6,1024
79,79,20.94075632900001,367.0,16098.0,200,0.6,1024
80,80,21.186328769000056,367.0,16299.0,200,0.6,1024
