,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.23672721500003036,233.0,200.0,200,0.5,1024
1,1,0.48677556699999514,287.0,402.0,200,0.5,1024
2,2,0.7262527190000014,289.0,604.0,200,0.5,1024
3,3,0.9552455930000292,289.0,805.0,200,0.5,1024
4,4,1.1953356630000371,296.0,1007.0,200,0.5,1024
5,5,1.4475843090000353,296.0,1208.0,200,0.5,1024
6,6,1.6856104290000076,296.0,1409.0,200,0.5,1024
7,7,1.9265672210000275,296.0,1610.0,200,0.5,1024
8,8,2.1679580070000384,296.0,1811.0,200,0.5,1024
9,9,2.4282242060000385,296.0,2012.0,200,0.5,1024
10,10,2.671597064000025,296.0,2213.0,200,0.5,1024
11,11,2.913858062000031,296.0,2414.0,200,0.5,1024
12,12,3.155975732999991,296.0,2615.0,200,0.5,1024
13,13,3.400833129000034,296.0,2816.0,200,0.5,1024
14,14,3.640881239999999,296.0,3017.0,200,0.5,1024
15,15,3.8871115970000005,296.0,3218.0,200,0.5,1024
16,16,4.134050247999994,296.0,3419.0,200,0.5,1024
17,17,4.385824961000026,296.0,3620.0,200,0.5,1024
18,18,4.633148806999998,296.0,3821.0,200,0.5,1024
19,19,4.875994316999993,296.0,4022.0,200,0.5,1024
20,20,5.117533061000017,296.0,4223.0,200,0.5,1024
21,21,5.367276490999984,296.0,4424.0,200,0.5,1024
22,22,5.609325032000015,296.0,4625.0,200,0.5,1024
23,23,5.853132523999989,296.0,4826.0,200,0.5,1024
24,24,6.094834827,298.0,5028.0,200,0.5,1024
25,25,6.353325267000002,299.0,5230.0,200,0.5,1024
26,26,6.613935851000008,299.0,5431.0,200,0.5,1024
27,27,6.856387299999994,299.0,5632.0,200,0.5,1024
28,28,7.09838038800001,308.0,5834.0,200,0.5,1024
29,29,7.3393662820000145,308.0,6035.0,200,0.5,1024
30,30,7.594624345999989,308.0,6236.0,200,0.5,1024
31,31,7.8380223409999985,308.0,6437.0,200,0.5,1024
32,32,8.095054965000031,308.0,6638.0,200,0.5,1024
33,33,8.347617125999989,308.0,6839.0,200,0.5,1024
34,34,8.592586608000033,308.0,7040.0,200,0.5,1024
35,35,8.84111987,308.0,7241.0,200,0.5,1024
36,36,9.08822389300002,310.0,7443.0,200,0.5,1024
37,37,9.342540370999984,315.0,7645.0,200,0.5,1024
38,38,9.591182239000034,315.0,7846.0,200,0.5,1024
39,39,9.836378233999994,315.0,8047.0,200,0.5,1024
40,40,10.078176858000006,315.0,8248.0,200,0.5,1024
41,41,10.332832021999991,315.0,8449.0,200,0.5,1024
42,42,10.580920795999987,315.0,8650.0,200,0.5,1024
43,43,10.825799587999995,315.0,8851.0,200,0.5,1024
44,44,11.09986800400003,315.0,9052.0,200,0.5,1024
