,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.22354976299993723,273.0,200.0,True,200,0.6,1024
1,1,1.3495919849997335,277.0,402.0,True,200,0.6,1024
2,2,2.572180539999863,284.0,604.0,True,200,0.6,1024
3,3,3.8050069829996573,284.0,805.0,True,200,0.6,1024
4,4,5.038443960999757,284.0,1006.0,True,200,0.6,1024
5,5,6.369595828000001,285.0,1208.0,True,200,0.6,1024
6,6,7.871771446999901,285.0,1409.0,True,200,0.6,1024
7,7,9.286549313999785,290.0,1611.0,True,200,0.6,1024
8,8,10.700047971000004,290.0,1812.0,True,200,0.6,1024
9,9,12.118896710999707,290.0,2013.0,True,200,0.6,1024
10,10,13.441060784000001,290.0,2214.0,True,200,0.6,1024
11,11,14.817560039,290.0,2415.0,True,200,0.6,1024
12,12,16.32077572299977,290.0,2616.0,True,200,0.6,1024
13,13,17.74442132499962,290.0,2817.0,True,200,0.6,1024
14,14,19.055093980000038,290.0,3018.0,True,200,0.6,1024
15,15,20.292437638999672,290.0,3219.0,True,200,0.6,1024
16,16,21.55222935999973,290.0,3420.0,True,200,0.6,1024
17,17,23.058840764999786,300.0,3622.0,True,200,0.6,1024
18,18,24.468005513999742,300.0,3823.0,True,200,0.6,1024
19,19,25.892505008999706,300.0,4024.0,True,200,0.6,1024
20,20,27.42212852700004,300.0,4225.0,True,200,0.6,1024
21,21,28.72451130499985,300.0,4426.0,True,200,0.6,1024
22,22,30.0610986759998,301.0,4628.0,True,200,0.6,1024
23,23,31.32003346900001,302.0,4830.0,True,200,0.6,1024
24,24,32.56085107099989,302.0,5031.0,True,200,0.6,1024
25,25,33.82607747999964,306.0,5233.0,True,200,0.6,1024
26,26,35.1203090289996,309.0,5435.0,True,200,0.6,1024
27,27,36.464563625999745,320.0,5637.0,True,200,0.6,1024
28,28,37.8855344829999,320.0,5838.0,True,200,0.6,1024
29,29,39.25994828199964,320.0,6039.0,True,200,0.6,1024
30,30,40.51744895499996,320.0,6240.0,True,200,0.6,1024
31,31,41.74451941500001,320.0,6441.0,True,200,0.6,1024
32,32,42.969610217999616,322.0,6643.0,True,200,0.6,1024
33,33,44.2557443769997,322.0,6844.0,True,200,0.6,1024
34,34,45.53012731199988,326.0,7046.0,True,200,0.6,1024
35,35,46.817149461999634,326.0,7247.0,True,200,0.6,1024
36,36,48.10317248199999,330.0,7449.0,True,200,0.6,1024
37,37,49.42132200299966,344.0,7651.0,True,200,0.6,1024
