,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0030578260000009294,246.0,0.0,10,1024
1,1,0.01204993500000029,246.0,2.0,10,1024
2,2,0.023293934999999877,246.0,4.0,10,1024
3,3,0.031199908999999693,246.0,6.0,10,1024
4,4,0.033597256000000186,246.0,8.0,10,1024
5,5,0.044402357999999253,246.0,10.0,10,1024
6,6,0.046751836000000324,248.0,12.0,10,1024
7,7,0.04955042000000098,246.0,14.0,10,1024
8,8,0.05251126599999978,246.0,16.0,10,1024
9,9,0.06216861200000068,246.0,18.0,10,1024
10,10,0.0635154920000005,246.0,19.0,10,1024
11,11,0.06616875799999988,246.0,21.0,10,1024
12,12,0.06901673900000027,246.0,23.0,10,1024
13,13,0.07153262599999977,244.0,25.0,10,1024
14,14,0.07439235900000085,242.0,27.0,10,1024
15,15,0.07679059300000013,244.0,29.0,10,1024
16,16,0.07931669400000096,244.0,31.0,10,1024
17,17,0.08904204300000096,244.0,33.0,10,1024
18,18,0.09182941399999933,246.0,35.0,10,1024
19,19,0.09424088599999969,246.0,37.0,10,1024
20,20,0.09688067799999978,246.0,39.0,10,1024
21,21,0.0996856200000007,248.0,41.0,10,1024
22,22,0.10284876000000054,248.0,43.0,10,1024
23,23,0.1041270670000003,248.0,44.0,10,1024
24,24,0.10534070900000003,248.0,45.0,10,1024
25,25,0.10799381700000055,246.0,47.0,10,1024
26,26,0.11040976399999991,248.0,49.0,10,1024
27,27,0.11269380300000087,246.0,51.0,10,1024
28,28,0.11556475200000094,246.0,53.0,10,1024
29,29,0.1180526129999997,246.0,55.0,10,1024
30,30,0.12101481700000072,246.0,57.0,10,1024
31,31,0.12425183899999936,244.0,59.0,10,1024
32,32,0.12667023000000022,244.0,61.0,10,1024
33,33,0.13768046700000092,244.0,63.0,10,1024
34,34,0.14044235999999977,244.0,65.0,10,1024
35,35,0.14329659700000086,246.0,67.0,10,1024
36,36,0.14563750900000016,246.0,69.0,10,1024
37,37,0.14857048500000047,246.0,71.0,10,1024
38,38,0.150950774,246.0,73.0,10,1024
39,39,0.15352041200000066,244.0,75.0,10,1024
40,40,0.15689897999999936,246.0,77.0,10,1024
41,41,0.15978841799999977,246.0,79.0,10,1024
42,42,0.16249982799999962,244.0,81.0,10,1024
43,43,0.16520047200000043,244.0,83.0,10,1024
44,44,0.1677026280000007,246.0,85.0,10,1024
45,45,0.17078556899999953,244.0,87.0,10,1024
46,46,0.17255294199999938,244.0,88.0,10,1024
47,47,0.17546280600000053,244.0,90.0,10,1024
48,48,0.1780320789999994,242.0,92.0,10,1024
49,49,0.18146409500000082,244.0,94.0,10,1024
50,50,0.1846440050000009,244.0,96.0,10,1024
51,51,0.18754745800000094,244.0,98.0,10,1024
52,52,0.1903698580000004,244.0,100.0,10,1024
53,53,0.19322363200000048,242.0,102.0,10,1024
54,54,0.19616096000000027,242.0,104.0,10,1024
55,55,0.19894424599999994,242.0,106.0,10,1024
56,56,0.20170787500000031,240.0,108.0,10,1024
57,57,0.20508795499999977,238.0,110.0,10,1024
58,58,0.20773759300000094,240.0,112.0,10,1024
59,59,0.21031072599999945,238.0,114.0,10,1024
60,60,0.21296448800000078,240.0,116.0,10,1024
61,61,0.21545445900000004,238.0,118.0,10,1024
62,62,0.2183123630000008,236.0,120.0,10,1024
63,63,0.22152847599999959,236.0,122.0,10,1024
