,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00234981999999917,262.0,0.0,250,1024
1,1,0.010283566999998328,262.0,2.0,250,1024
2,2,0.017805254999998965,260.0,4.0,250,1024
3,3,0.024975960999999103,262.0,6.0,250,1024
4,4,0.027307486999998076,260.0,8.0,250,1024
5,5,0.035225107999998784,260.0,10.0,250,1024
6,6,0.03758786299999883,262.0,12.0,250,1024
7,7,0.03991592099999863,264.0,14.0,250,1024
8,8,0.04219841499999788,265.0,16.0,250,1024
9,9,0.05023523699999899,265.0,18.0,250,1024
10,10,0.05261746099999698,265.0,20.0,250,1024
11,11,0.055142194999998395,265.0,22.0,250,1024
12,12,0.057605033999998057,263.0,24.0,250,1024
13,13,0.06028531599999809,263.0,26.0,250,1024
14,14,0.06324695399999669,265.0,28.0,250,1024
15,15,0.06573809599999691,265.0,30.0,250,1024
16,16,0.06810112399999824,265.0,32.0,250,1024
17,17,0.07563036599999862,265.0,34.0,250,1024
18,18,0.07801353899999697,263.0,36.0,250,1024
19,19,0.08048974799999797,263.0,38.0,250,1024
20,20,0.08302319799999935,265.0,40.0,250,1024
21,21,0.08534641899999684,265.0,42.0,250,1024
22,22,0.08770926999999773,265.0,44.0,250,1024
23,23,0.0901922029999973,267.0,46.0,250,1024
24,24,0.09248999899999788,267.0,48.0,250,1024
25,25,0.09487752699999774,267.0,50.0,250,1024
26,26,0.09725602199999983,269.0,52.0,250,1024
27,27,0.09956619899999808,269.0,54.0,250,1024
28,28,0.10186626299999801,267.0,56.0,250,1024
29,29,0.10420073499999916,265.0,58.0,250,1024
30,30,0.10655648699999887,265.0,60.0,250,1024
31,31,0.10886584599999694,265.0,62.0,250,1024
32,32,0.11118730699999801,263.0,64.0,250,1024
33,33,0.11969762399999695,261.0,66.0,250,1024
34,34,0.12204898199999903,263.0,68.0,250,1024
35,35,0.12440536499999766,263.0,70.0,250,1024
36,36,0.12682377399999822,261.0,72.0,250,1024
37,37,0.12924730999999667,263.0,74.0,250,1024
38,38,0.1317044509999974,261.0,76.0,250,1024
39,39,0.13409543799999923,259.0,78.0,250,1024
40,40,0.13644546399999768,259.0,80.0,250,1024
41,41,0.13879193799999712,259.0,82.0,250,1024
42,42,0.14110968499999998,257.0,84.0,250,1024
43,43,0.14350159299999987,255.0,86.0,250,1024
44,44,0.1459054939999973,253.0,88.0,250,1024
