,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.04992558999998664,53.0,200.0,200,0.7,1024
1,1,0.11334387399998036,62.0,402.0,200,0.7,1024
2,2,0.17461646900000005,63.0,604.0,200,0.7,1024
3,3,0.23352120699999546,64.0,806.0,200,0.7,1024
4,4,0.290071351999984,64.0,1007.0,200,0.7,1024
5,5,0.3509927779999771,64.0,1208.0,200,0.7,1024
6,6,0.40639264299997535,65.0,1410.0,200,0.7,1024
7,7,0.46148200700000075,67.0,1612.0,200,0.7,1024
8,8,0.5151596869999935,68.0,1814.0,200,0.7,1024
9,9,0.5759964829999831,69.0,2016.0,200,0.7,1024
10,10,0.6323970669999994,69.0,2217.0,200,0.7,1024
11,11,0.688931330999992,69.0,2418.0,200,0.7,1024
12,12,0.7449536829999772,69.0,2619.0,200,0.7,1024
13,13,0.8009941109999943,69.0,2820.0,200,0.7,1024
14,14,0.8574015709999969,69.0,3021.0,200,0.7,1024
15,15,0.9136961549999967,69.0,3222.0,200,0.7,1024
16,16,0.9693892319999975,69.0,3423.0,200,0.7,1024
17,17,1.032377471999979,69.0,3624.0,200,0.7,1024
18,18,1.089357997999997,69.0,3825.0,200,0.7,1024
19,19,1.1497580839999841,69.0,4026.0,200,0.7,1024
20,20,1.206905890999991,69.0,4227.0,200,0.7,1024
21,21,1.2633403899999962,69.0,4428.0,200,0.7,1024
22,22,1.3201140339999995,71.0,4630.0,200,0.7,1024
23,23,1.3766569489999938,71.0,4831.0,200,0.7,1024
24,24,1.4305567849999932,73.0,5033.0,200,0.7,1024
25,25,1.4852400469999907,73.0,5234.0,200,0.7,1024
26,26,1.5400265589999833,73.0,5435.0,200,0.7,1024
27,27,1.5969319019999944,76.0,5637.0,200,0.7,1024
28,28,1.6571845279999877,76.0,5838.0,200,0.7,1024
29,29,1.7157225729999936,76.0,6039.0,200,0.7,1024
30,30,1.7719085039999811,76.0,6240.0,200,0.7,1024
31,31,1.827854579999979,76.0,6441.0,200,0.7,1024
32,32,1.8845559749999836,76.0,6642.0,200,0.7,1024
33,33,1.946187933999994,77.0,6844.0,200,0.7,1024
34,34,2.003270372000003,77.0,7045.0,200,0.7,1024
35,35,2.0605952649999892,77.0,7246.0,200,0.7,1024
36,36,2.118168747999988,77.0,7447.0,200,0.7,1024
37,37,2.175828511999981,77.0,7648.0,200,0.7,1024
38,38,2.2329884859999822,77.0,7849.0,200,0.7,1024
39,39,2.290706541999981,79.0,8051.0,200,0.7,1024
40,40,2.3478317949999905,79.0,8252.0,200,0.7,1024
41,41,2.4051408179999783,80.0,8454.0,200,0.7,1024
42,42,2.461999351000003,80.0,8655.0,200,0.7,1024
43,43,2.5190415649999807,80.0,8856.0,200,0.7,1024
44,44,2.575611431999988,82.0,9058.0,200,0.7,1024
45,45,2.6329706829999964,82.0,9259.0,200,0.7,1024
46,46,2.6905882539999766,82.0,9460.0,200,0.7,1024
47,47,2.7487726679999867,85.0,9662.0,200,0.7,1024
48,48,2.8065268569999944,85.0,9863.0,200,0.7,1024
49,49,2.863350730999997,85.0,10064.0,200,0.7,1024
50,50,2.921470279999994,85.0,10265.0,200,0.7,1024
51,51,2.981487705999996,85.0,10466.0,200,0.7,1024
52,52,3.0389574009999762,85.0,10667.0,200,0.7,1024
53,53,3.0955803889999913,85.0,10868.0,200,0.7,1024
54,54,3.1527839289999804,85.0,11069.0,200,0.7,1024
55,55,3.21111836999998,87.0,11271.0,200,0.7,1024
56,56,3.268042143999992,87.0,11472.0,200,0.7,1024
57,57,3.3246838000000025,87.0,11673.0,200,0.7,1024
58,58,3.380793482999991,89.0,11875.0,200,0.7,1024
59,59,3.438117969999979,89.0,12076.0,200,0.7,1024
60,60,3.494374408999988,89.0,12277.0,200,0.7,1024
61,61,3.551157576999998,89.0,12478.0,200,0.7,1024
62,62,3.6086102219999816,89.0,12679.0,200,0.7,1024
63,63,3.665166536999976,89.0,12880.0,200,0.7,1024
64,64,3.722707584999995,89.0,13081.0,200,0.7,1024
65,65,3.783375499999977,89.0,13282.0,200,0.7,1024
66,66,3.8416086479999763,89.0,13483.0,200,0.7,1024
67,67,3.898596537000003,89.0,13684.0,200,0.7,1024
68,68,3.9568844839999997,89.0,13885.0,200,0.7,1024
69,69,4.014365800999997,89.0,14086.0,200,0.7,1024
70,70,4.071099962999995,89.0,14287.0,200,0.7,1024
71,71,4.1288462489999915,89.0,14488.0,200,0.7,1024
72,72,4.190129366999997,89.0,14689.0,200,0.7,1024
73,73,4.246755816999979,89.0,14890.0,200,0.7,1024
74,74,4.303881584999999,89.0,15091.0,200,0.7,1024
75,75,4.360578007999976,89.0,15292.0,200,0.7,1024
76,76,4.41747746599998,90.0,15494.0,200,0.7,1024
77,77,4.474675832999992,90.0,15695.0,200,0.7,1024
78,78,4.531732736999999,90.0,15896.0,200,0.7,1024
79,79,4.58769552199999,91.0,16098.0,200,0.7,1024
80,80,4.645718001999995,91.0,16299.0,200,0.7,1024
81,81,4.702639970999996,91.0,16500.0,200,0.7,1024
82,82,4.760544084000003,91.0,16701.0,200,0.7,1024
83,83,4.820922741999993,91.0,16902.0,200,0.7,1024
84,84,4.878823402999984,91.0,17103.0,200,0.7,1024
85,85,4.936739346999985,91.0,17304.0,200,0.7,1024
86,86,4.994637520999987,91.0,17505.0,200,0.7,1024
87,87,5.050797113999977,91.0,17706.0,200,0.7,1024
88,88,5.107668832999991,91.0,17907.0,200,0.7,1024
89,89,5.163751373999986,91.0,18108.0,200,0.7,1024
90,90,5.221098503999997,91.0,18309.0,200,0.7,1024
91,91,5.278913557999999,91.0,18510.0,200,0.7,1024
92,92,5.336453947999985,91.0,18711.0,200,0.7,1024
93,93,5.393662339000002,91.0,18912.0,200,0.7,1024
94,94,5.449612987999984,91.0,19113.0,200,0.7,1024
95,95,5.507212350999993,91.0,19314.0,200,0.7,1024
96,96,5.563557982999981,91.0,19515.0,200,0.7,1024
97,97,5.6216127319999885,91.0,19716.0,200,0.7,1024
98,98,5.678541377999977,91.0,19917.0,200,0.7,1024
99,99,5.736484089999976,91.0,20118.0,200,0.7,1024
100,100,5.793499400000002,91.0,20319.0,200,0.7,1024
101,101,5.850070205999998,91.0,20520.0,200,0.7,1024
102,102,5.907343932000003,91.0,20721.0,200,0.7,1024
103,103,5.963387883999985,91.0,20922.0,200,0.7,1024
104,104,6.020965190999988,91.0,21123.0,200,0.7,1024
105,105,6.077344300999982,91.0,21324.0,200,0.7,1024
106,106,6.1346296669999845,91.0,21525.0,200,0.7,1024
107,107,6.193758312,91.0,21726.0,200,0.7,1024
108,108,6.256356549000003,91.0,21927.0,200,0.7,1024
109,109,6.317441186999986,91.0,22128.0,200,0.7,1024
110,110,6.3770374730000015,91.0,22329.0,200,0.7,1024
111,111,6.4357224919999965,91.0,22530.0,200,0.7,1024
112,112,6.496045303999978,91.0,22731.0,200,0.7,1024
113,113,6.553565069000001,91.0,22932.0,200,0.7,1024
114,114,6.610910885999999,91.0,23133.0,200,0.7,1024
115,115,6.674751966999992,91.0,23334.0,200,0.7,1024
116,116,6.732262751999997,91.0,23535.0,200,0.7,1024
117,117,6.789714484000001,91.0,23736.0,200,0.7,1024
118,118,6.8467515729999775,91.0,23937.0,200,0.7,1024
119,119,6.904163834000002,91.0,24138.0,200,0.7,1024
120,120,6.960402596999984,91.0,24339.0,200,0.7,1024
121,121,7.0175091369999905,91.0,24540.0,200,0.7,1024
122,122,7.073848032000001,91.0,24741.0,200,0.7,1024
123,123,7.130341282999979,91.0,24942.0,200,0.7,1024
124,124,7.187235708999992,91.0,25143.0,200,0.7,1024
125,125,7.245454539999997,91.0,25344.0,200,0.7,1024
126,126,7.302410703999982,91.0,25545.0,200,0.7,1024
127,127,7.364203772999986,91.0,25746.0,200,0.7,1024
128,128,7.426067829999994,91.0,25947.0,200,0.7,1024
129,129,7.490663298999976,91.0,26148.0,200,0.7,1024
130,130,7.549106334999976,91.0,26349.0,200,0.7,1024
131,131,7.607939585999986,91.0,26550.0,200,0.7,1024
132,132,7.670124928999996,91.0,26751.0,200,0.7,1024
133,133,7.729534479999984,91.0,26952.0,200,0.7,1024
134,134,7.787368532999977,91.0,27153.0,200,0.7,1024
135,135,7.8467661089999865,91.0,27354.0,200,0.7,1024
136,136,7.906495119999988,91.0,27555.0,200,0.7,1024
137,137,7.962911994999985,91.0,27756.0,200,0.7,1024
138,138,8.02075959199999,91.0,27957.0,200,0.7,1024
139,139,8.076527763000001,91.0,28158.0,200,0.7,1024
140,140,8.133373070999994,91.0,28359.0,200,0.7,1024
141,141,8.190832922999988,91.0,28560.0,200,0.7,1024
142,142,8.249280909999982,91.0,28761.0,200,0.7,1024
143,143,8.309011585999997,91.0,28962.0,200,0.7,1024
144,144,8.366530898999997,91.0,29163.0,200,0.7,1024
145,145,8.425445496999998,91.0,29364.0,200,0.7,1024
146,146,8.48684885999998,91.0,29565.0,200,0.7,1024
147,147,8.545946122999993,91.0,29766.0,200,0.7,1024
148,148,8.603552495000002,91.0,29967.0,200,0.7,1024
149,149,8.664962614999979,91.0,30168.0,200,0.7,1024
150,150,8.726535691999999,91.0,30369.0,200,0.7,1024
151,151,8.78430840599998,91.0,30570.0,200,0.7,1024
152,152,8.843534016999996,91.0,30771.0,200,0.7,1024
153,153,8.900325660999982,91.0,30972.0,200,0.7,1024
154,154,8.957693533999986,91.0,31173.0,200,0.7,1024
155,155,9.017184593999986,91.0,31374.0,200,0.7,1024
156,156,9.075381728999986,91.0,31575.0,200,0.7,1024
157,157,9.13396389799999,91.0,31776.0,200,0.7,1024
158,158,9.192151312999982,91.0,31977.0,200,0.7,1024
159,159,9.248505021,91.0,32178.0,200,0.7,1024
160,160,9.306896832999996,91.0,32379.0,200,0.7,1024
161,161,9.363077154999985,91.0,32580.0,200,0.7,1024
162,162,9.42171591799999,91.0,32781.0,200,0.7,1024
163,163,9.479883669000003,91.0,32982.0,200,0.7,1024
164,164,9.536629653999995,91.0,33183.0,200,0.7,1024
165,165,9.593678889999978,91.0,33384.0,200,0.7,1024
166,166,9.653879512999993,91.0,33585.0,200,0.7,1024
167,167,9.713411627,91.0,33786.0,200,0.7,1024
168,168,9.770161536999979,91.0,33987.0,200,0.7,1024
169,169,9.828026792999992,91.0,34188.0,200,0.7,1024
170,170,9.885670337999983,91.0,34389.0,200,0.7,1024
171,171,9.941950793999979,91.0,34590.0,200,0.7,1024
172,172,9.99940857499999,91.0,34791.0,200,0.7,1024
173,173,10.055744629999992,91.0,34992.0,200,0.7,1024
174,174,10.111181768999984,91.0,35193.0,200,0.7,1024
175,175,10.167827520999992,91.0,35394.0,200,0.7,1024
176,176,10.224585026,91.0,35595.0,200,0.7,1024
177,177,10.280944333999997,91.0,35796.0,200,0.7,1024
178,178,10.338039797999983,91.0,35997.0,200,0.7,1024
179,179,10.394660995999999,91.0,36198.0,200,0.7,1024
180,180,10.448868603999983,91.0,36399.0,200,0.7,1024
181,181,10.505365735999987,91.0,36600.0,200,0.7,1024
182,182,10.562009227999994,91.0,36801.0,200,0.7,1024
183,183,10.616413118999986,91.0,37002.0,200,0.7,1024
184,184,10.672676963999976,91.0,37203.0,200,0.7,1024
185,185,10.728615644000001,91.0,37404.0,200,0.7,1024
186,186,10.784467385999989,91.0,37605.0,200,0.7,1024
187,187,10.840413859999984,91.0,37806.0,200,0.7,1024
188,188,10.896536722999997,91.0,38007.0,200,0.7,1024
189,189,10.953728127999995,91.0,38208.0,200,0.7,1024
190,190,11.010466619999988,91.0,38409.0,200,0.7,1024
191,191,11.066676799999982,91.0,38610.0,200,0.7,1024
192,192,11.123457264999985,91.0,38811.0,200,0.7,1024
193,193,11.17950132499999,91.0,39012.0,200,0.7,1024
194,194,11.237525732999984,91.0,39213.0,200,0.7,1024
195,195,11.29426153,91.0,39414.0,200,0.7,1024
196,196,11.350207485999988,91.0,39615.0,200,0.7,1024
197,197,11.407415628999985,91.0,39816.0,200,0.7,1024
198,198,11.463805503999993,91.0,40017.0,200,0.7,1024
199,199,11.52026275,91.0,40218.0,200,0.7,1024
200,200,11.576344792999976,91.0,40419.0,200,0.7,1024
201,201,11.630357031999978,91.0,40620.0,200,0.7,1024
202,202,11.686239014999984,91.0,40821.0,200,0.7,1024
203,203,11.742631250999978,91.0,41022.0,200,0.7,1024
204,204,11.79936202899998,91.0,41223.0,200,0.7,1024
205,205,11.857746483,91.0,41424.0,200,0.7,1024
206,206,11.913897152999994,91.0,41625.0,200,0.7,1024
207,207,11.97067785599998,91.0,41826.0,200,0.7,1024
208,208,12.027890399,91.0,42027.0,200,0.7,1024
209,209,12.084703284,91.0,42228.0,200,0.7,1024
210,210,12.14143851199998,91.0,42429.0,200,0.7,1024
211,211,12.19741874799999,91.0,42630.0,200,0.7,1024
212,212,12.25238152,91.0,42831.0,200,0.7,1024
213,213,12.308959619999996,91.0,43032.0,200,0.7,1024
214,214,12.36504880199999,91.0,43233.0,200,0.7,1024
215,215,12.419061489,91.0,43434.0,200,0.7,1024
216,216,12.475446382000001,91.0,43635.0,200,0.7,1024
217,217,12.531574194000001,91.0,43836.0,200,0.7,1024
218,218,12.588063046000002,91.0,44037.0,200,0.7,1024
219,219,12.64268092399999,91.0,44238.0,200,0.7,1024
220,220,12.697745015999999,91.0,44439.0,200,0.7,1024
221,221,12.754097613999988,91.0,44640.0,200,0.7,1024
222,222,12.809361696999986,91.0,44841.0,200,0.7,1024
223,223,12.864523241,91.0,45042.0,200,0.7,1024
224,224,12.925905784999998,91.0,45243.0,200,0.7,1024
225,225,12.986910039999998,91.0,45444.0,200,0.7,1024
226,226,13.050432196999992,91.0,45645.0,200,0.7,1024
227,227,13.114608003,91.0,45846.0,200,0.7,1024
228,228,13.179124443999996,91.0,46047.0,200,0.7,1024
229,229,13.243180217999992,91.0,46248.0,200,0.7,1024
230,230,13.30686709599999,91.0,46449.0,200,0.7,1024
231,231,13.371056635000002,91.0,46650.0,200,0.7,1024
232,232,13.435762795999977,91.0,46851.0,200,0.7,1024
233,233,13.498462278999995,91.0,47052.0,200,0.7,1024
234,234,13.564166673999978,91.0,47253.0,200,0.7,1024
235,235,13.625955973000003,91.0,47454.0,200,0.7,1024
236,236,13.685877764999987,91.0,47655.0,200,0.7,1024
237,237,13.74448445599998,91.0,47856.0,200,0.7,1024
238,238,13.803212632999987,91.0,48057.0,200,0.7,1024
239,239,13.860879873999977,91.0,48258.0,200,0.7,1024
240,240,13.917707793999995,91.0,48459.0,200,0.7,1024
241,241,13.97437051099999,91.0,48660.0,200,0.7,1024
242,242,14.031076142999979,91.0,48861.0,200,0.7,1024
243,243,14.088182498999998,91.0,49062.0,200,0.7,1024
244,244,14.146250866000003,91.0,49263.0,200,0.7,1024
245,245,14.202779200999998,91.0,49464.0,200,0.7,1024
246,246,14.259361706999982,91.0,49665.0,200,0.7,1024
247,247,14.31620969399998,91.0,49866.0,200,0.7,1024
248,248,14.373388407999983,91.0,50067.0,200,0.7,1024
249,249,14.429316287999995,91.0,50268.0,200,0.7,1024
250,250,14.48627755299998,91.0,50469.0,200,0.7,1024
251,251,14.542784499999982,91.0,50670.0,200,0.7,1024
252,252,14.604595416999985,91.0,50871.0,200,0.7,1024
253,253,14.668935027000003,91.0,51072.0,200,0.7,1024
254,254,14.725685658000003,91.0,51273.0,200,0.7,1024
255,255,14.78219422799998,91.0,51474.0,200,0.7,1024
256,256,14.840320816999991,91.0,51675.0,200,0.7,1024
257,257,14.908163954999992,91.0,51876.0,200,0.7,1024
258,258,14.96856864099999,91.0,52077.0,200,0.7,1024
259,259,15.027107006999984,91.0,52278.0,200,0.7,1024
260,260,15.084565919,91.0,52479.0,200,0.7,1024
261,261,15.143689970999986,91.0,52680.0,200,0.7,1024
262,262,15.201370096999995,91.0,52881.0,200,0.7,1024
263,263,15.259831237999975,91.0,53082.0,200,0.7,1024
264,264,15.317269072999977,91.0,53283.0,200,0.7,1024
265,265,15.376569078999978,91.0,53484.0,200,0.7,1024
266,266,15.432781808999977,91.0,53685.0,200,0.7,1024
267,267,15.489986555999991,91.0,53886.0,200,0.7,1024
268,268,15.549235637999999,91.0,54087.0,200,0.7,1024
269,269,15.608986754,91.0,54288.0,200,0.7,1024
270,270,15.668823522999986,91.0,54489.0,200,0.7,1024
271,271,15.736511914999994,91.0,54690.0,200,0.7,1024
272,272,15.801311731999988,91.0,54891.0,200,0.7,1024
273,273,15.865070289999977,91.0,55092.0,200,0.7,1024
274,274,15.942009189000004,91.0,55293.0,200,0.7,1024
275,275,16.00611121899999,91.0,55494.0,200,0.7,1024
276,276,16.06849868399999,91.0,55695.0,200,0.7,1024
277,277,16.128253742999988,91.0,55896.0,200,0.7,1024
278,278,16.187102752999976,93.0,56098.0,200,0.7,1024
279,279,16.24909706699998,93.0,56299.0,200,0.7,1024
280,280,16.313818451999992,93.0,56500.0,200,0.7,1024
281,281,16.37338621799998,93.0,56701.0,200,0.7,1024
282,282,16.433337076999976,93.0,56902.0,200,0.7,1024
283,283,16.49474042099999,93.0,57103.0,200,0.7,1024
284,284,16.55515157299999,93.0,57304.0,200,0.7,1024
285,285,16.614847404999978,93.0,57505.0,200,0.7,1024
286,286,16.674014803999995,93.0,57706.0,200,0.7,1024
287,287,16.73394060299998,93.0,57907.0,200,0.7,1024
288,288,16.793576513999994,93.0,58108.0,200,0.7,1024
289,289,16.85353771299998,93.0,58309.0,200,0.7,1024
290,290,16.913450971000003,93.0,58510.0,200,0.7,1024
291,291,16.974895863,93.0,58711.0,200,0.7,1024
292,292,17.03362604,93.0,58912.0,200,0.7,1024
293,293,17.090840541999995,93.0,59113.0,200,0.7,1024
294,294,17.148930409000002,93.0,59314.0,200,0.7,1024
295,295,17.206904119,93.0,59515.0,200,0.7,1024
296,296,17.26493656599999,93.0,59716.0,200,0.7,1024
297,297,17.32425589899998,93.0,59917.0,200,0.7,1024
298,298,17.382999744999978,93.0,60118.0,200,0.7,1024
299,299,17.442483256000003,93.0,60319.0,200,0.7,1024
300,300,17.503485640999997,93.0,60520.0,200,0.7,1024
301,301,17.56350699699999,93.0,60721.0,200,0.7,1024
302,302,17.622103003999996,93.0,60922.0,200,0.7,1024
303,303,17.67953558299999,93.0,61123.0,200,0.7,1024
304,304,17.737548810999982,93.0,61324.0,200,0.7,1024
305,305,17.79590493499998,93.0,61525.0,200,0.7,1024
306,306,17.855296471999992,93.0,61726.0,200,0.7,1024
307,307,17.914921155000002,93.0,61927.0,200,0.7,1024
308,308,17.974305809999976,93.0,62128.0,200,0.7,1024
309,309,18.033987454999988,93.0,62329.0,200,0.7,1024
310,310,18.092929775999977,93.0,62530.0,200,0.7,1024
311,311,18.153992988,93.0,62731.0,200,0.7,1024
312,312,18.21338586599998,93.0,62932.0,200,0.7,1024
313,313,18.274209366999997,93.0,63133.0,200,0.7,1024
314,314,18.33802553199999,93.0,63334.0,200,0.7,1024
315,315,18.39868923099999,93.0,63535.0,200,0.7,1024
316,316,18.459389988999988,93.0,63736.0,200,0.7,1024
317,317,18.52662963199998,93.0,63937.0,200,0.7,1024
318,318,18.600472182999994,93.0,64138.0,200,0.7,1024
319,319,18.686339754999977,93.0,64339.0,200,0.7,1024
320,320,18.77436684999998,93.0,64540.0,200,0.7,1024
321,321,18.85279067899998,93.0,64741.0,200,0.7,1024
322,322,18.911334838999977,93.0,64942.0,200,0.7,1024
323,323,18.96901834899998,93.0,65143.0,200,0.7,1024
