,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.058253815000000486,55.0,200.0,True,200,0.8,1024
1,1,0.1889862450000237,67.0,402.0,True,200,0.8,1024
2,2,0.3166262520000487,67.0,603.0,True,200,0.8,1024
3,3,0.44041831000004095,67.0,804.0,True,200,0.8,1024
4,4,0.5588442040000245,67.0,1005.0,True,200,0.8,1024
5,5,0.6831957850000094,67.0,1206.0,True,200,0.8,1024
6,6,0.8159461559999954,67.0,1407.0,True,200,0.8,1024
7,7,0.9576891390000242,67.0,1608.0,True,200,0.8,1024
8,8,1.0921902730000284,67.0,1809.0,True,200,0.8,1024
9,9,1.222322815000041,67.0,2010.0,True,200,0.8,1024
10,10,1.3518119410000509,68.0,2212.0,True,200,0.8,1024
11,11,1.4695459700000129,68.0,2413.0,True,200,0.8,1024
12,12,1.5983541600000422,68.0,2614.0,True,200,0.8,1024
13,13,1.726090766000027,72.0,2816.0,True,200,0.8,1024
14,14,1.8442336250000153,72.0,3017.0,True,200,0.8,1024
15,15,1.9664118420000136,72.0,3218.0,True,200,0.8,1024
16,16,2.083529702000021,72.0,3419.0,True,200,0.8,1024
17,17,2.21770329200001,72.0,3620.0,True,200,0.8,1024
18,18,2.3555187080000337,72.0,3821.0,True,200,0.8,1024
19,19,2.4806735540000204,72.0,4022.0,True,200,0.8,1024
20,20,2.601897710000003,72.0,4223.0,True,200,0.8,1024
21,21,2.7302352359999986,72.0,4424.0,True,200,0.8,1024
22,22,2.8535555280000153,72.0,4625.0,True,200,0.8,1024
23,23,2.9714808400000265,72.0,4826.0,True,200,0.8,1024
24,24,3.106890503000045,72.0,5027.0,True,200,0.8,1024
25,25,3.23161303400002,72.0,5228.0,True,200,0.8,1024
26,26,3.350285528000029,72.0,5429.0,True,200,0.8,1024
27,27,3.4724881750000236,72.0,5630.0,True,200,0.8,1024
28,28,3.6089567020000004,72.0,5831.0,True,200,0.8,1024
29,29,3.732336549000024,73.0,6033.0,True,200,0.8,1024
30,30,3.8596952770000144,73.0,6234.0,True,200,0.8,1024
31,31,3.9920334440000147,75.0,6436.0,True,200,0.8,1024
32,32,4.118328625000004,75.0,6637.0,True,200,0.8,1024
33,33,4.249371358000019,75.0,6838.0,True,200,0.8,1024
34,34,4.380666651000013,75.0,7039.0,True,200,0.8,1024
35,35,4.510774646000016,75.0,7240.0,True,200,0.8,1024
36,36,4.64025125500001,75.0,7441.0,True,200,0.8,1024
37,37,4.7654316610000365,76.0,7643.0,True,200,0.8,1024
38,38,4.905850233000024,77.0,7845.0,True,200,0.8,1024
39,39,5.037237391000019,77.0,8046.0,True,200,0.8,1024
40,40,5.156597513999998,77.0,8247.0,True,200,0.8,1024
41,41,5.289291214000002,80.0,8449.0,True,200,0.8,1024
42,42,5.417380615000013,80.0,8650.0,True,200,0.8,1024
43,43,5.546836512000027,80.0,8851.0,True,200,0.8,1024
44,44,5.679275844000017,80.0,9052.0,True,200,0.8,1024
45,45,5.800189638000006,80.0,9253.0,True,200,0.8,1024
46,46,5.9177769310000485,80.0,9454.0,True,200,0.8,1024
47,47,6.038906603000044,80.0,9655.0,True,200,0.8,1024
48,48,6.158243208000044,80.0,9856.0,True,200,0.8,1024
49,49,6.293603479000012,80.0,10057.0,True,200,0.8,1024
50,50,6.4299082269999985,80.0,10258.0,True,200,0.8,1024
51,51,6.565479290000042,80.0,10459.0,True,200,0.8,1024
52,52,6.696790991,80.0,10660.0,True,200,0.8,1024
53,53,6.816302532999998,80.0,10861.0,True,200,0.8,1024
54,54,6.945053420000022,80.0,11062.0,True,200,0.8,1024
55,55,7.073195444000021,80.0,11263.0,True,200,0.8,1024
56,56,7.198150497000029,80.0,11464.0,True,200,0.8,1024
57,57,7.318411892000029,80.0,11665.0,True,200,0.8,1024
58,58,7.467168707000042,80.0,11866.0,True,200,0.8,1024
59,59,7.624004124999999,80.0,12067.0,True,200,0.8,1024
60,60,7.782061918000011,80.0,12268.0,True,200,0.8,1024
61,61,7.916104648000044,80.0,12469.0,True,200,0.8,1024
62,62,8.059604400000012,80.0,12670.0,True,200,0.8,1024
63,63,8.207189972000037,80.0,12871.0,True,200,0.8,1024
64,64,8.337749615999996,80.0,13072.0,True,200,0.8,1024
65,65,8.45868552600001,80.0,13273.0,True,200,0.8,1024
66,66,8.584737281000002,80.0,13474.0,True,200,0.8,1024
67,67,8.722296778000043,80.0,13675.0,True,200,0.8,1024
