,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0005855860000001378,43.0,0.0,0,1024,0
1,1,0.008224352000000046,43.0,1.0,0,1024,0
2,2,0.013258087000000085,43.0,2.0,0,1024,0
3,3,0.018148264000000136,45.0,4.0,0,1024,0
4,4,0.018412477000000038,45.0,5.0,0,1024,0
5,5,0.023487632000000147,47.0,7.0,0,1024,0
6,6,0.024060516000000032,49.0,9.0,0,1024,0
7,7,0.024327780000000132,49.0,10.0,0,1024,0
8,8,0.02482264100000009,51.0,12.0,0,1024,0
9,9,0.029995197000000084,51.0,13.0,0,1024,0
10,10,0.030260303000000155,51.0,14.0,0,1024,0
11,11,0.03051261900000002,51.0,15.0,0,1024,0
12,12,0.03076486200000006,51.0,16.0,0,1024,0
13,13,0.03127218700000012,53.0,18.0,0,1024,0
14,14,0.031554739000000165,53.0,19.0,0,1024,0
15,15,0.03207982800000009,55.0,21.0,0,1024,0
16,16,0.03257134699999997,56.0,23.0,0,1024,0
17,17,0.03678654700000017,56.0,24.0,0,1024,0
18,18,0.03708632100000009,56.0,25.0,0,1024,0
19,19,0.037354685000000165,56.0,26.0,0,1024,0
20,20,0.037615434000000114,56.0,27.0,0,1024,0
21,21,0.03814592100000014,58.0,29.0,0,1024,0
22,22,0.03882262000000014,60.0,31.0,0,1024,0
23,23,0.04006233300000006,62.0,33.0,0,1024,0
24,24,0.04054195100000002,62.0,34.0,0,1024,0
25,25,0.04133789900000018,64.0,36.0,0,1024,0
26,26,0.041799856999999996,64.0,37.0,0,1024,0
27,27,0.042133166000000166,64.0,38.0,0,1024,0
28,28,0.042427839999999994,64.0,39.0,0,1024,0
29,29,0.04272637800000001,64.0,40.0,0,1024,0
30,30,0.04305104599999998,64.0,41.0,0,1024,0
31,31,0.04345284700000018,64.0,42.0,0,1024,0
32,32,0.0440360580000001,66.0,44.0,0,1024,0
33,33,0.05048614699999998,66.0,45.0,0,1024,0
34,34,0.05076111999999999,66.0,46.0,0,1024,0
35,35,0.0510276380000001,66.0,47.0,0,1024,0
36,36,0.05129094500000009,66.0,48.0,0,1024,0
37,37,0.05155572300000011,66.0,49.0,0,1024,0
38,38,0.05181830900000017,66.0,50.0,0,1024,0
39,39,0.05209331500000003,66.0,51.0,0,1024,0
40,40,0.05235430100000005,66.0,52.0,0,1024,0
41,41,0.05262234600000015,66.0,53.0,0,1024,0
42,42,0.053110366000000075,68.0,55.0,0,1024,0
43,43,0.0533925420000001,68.0,56.0,0,1024,0
44,44,0.053679774000000124,68.0,57.0,0,1024,0
45,45,0.053998154000000076,68.0,58.0,0,1024,0
46,46,0.0543490900000001,68.0,59.0,0,1024,0
47,47,0.054739435999999975,68.0,60.0,0,1024,0
48,48,0.05543986200000006,70.0,62.0,0,1024,0
49,49,0.05594121900000015,70.0,63.0,0,1024,0
50,50,0.05637250599999999,70.0,64.0,0,1024,0
51,51,0.05679062700000004,70.0,65.0,0,1024,0
52,52,0.05739508400000015,72.0,67.0,0,1024,0
53,53,0.057725484999999965,72.0,68.0,0,1024,0
54,54,0.05807129499999997,72.0,69.0,0,1024,0
55,55,0.05840100100000001,72.0,70.0,0,1024,0
56,56,0.05890612800000006,72.0,71.0,0,1024,0
57,57,0.05928076400000015,72.0,72.0,0,1024,0
58,58,0.059645882000000094,72.0,73.0,0,1024,0
59,59,0.05999810800000005,72.0,74.0,0,1024,0
60,60,0.060354918000000035,72.0,75.0,0,1024,0
61,61,0.06071196899999998,72.0,76.0,0,1024,0
62,62,0.06104116400000015,72.0,77.0,0,1024,0
63,63,0.061382519999999996,72.0,78.0,0,1024,0
64,64,0.061691351000000116,72.0,79.0,0,1024,0
65,65,0.06693365400000006,72.0,80.0,0,1024,0
66,66,0.06722395800000003,72.0,81.0,0,1024,0
67,67,0.06750414900000012,72.0,82.0,0,1024,0
68,68,0.06778512200000009,72.0,83.0,0,1024,0
69,69,0.06807513200000015,72.0,84.0,0,1024,0
70,70,0.06835619500000001,72.0,85.0,0,1024,0
71,71,0.06887925200000011,74.0,87.0,0,1024,0
72,72,0.06916027700000016,74.0,88.0,0,1024,0
73,73,0.06944148600000011,74.0,89.0,0,1024,0
74,74,0.06971991500000008,74.0,90.0,0,1024,0
75,75,0.07008233600000002,74.0,91.0,0,1024,0
76,76,0.07059253700000001,74.0,92.0,0,1024,0
77,77,0.07103437900000009,74.0,93.0,0,1024,0
78,78,0.07141975200000017,74.0,94.0,0,1024,0
79,79,0.07188582399999999,74.0,95.0,0,1024,0
80,80,0.07251256300000009,74.0,96.0,0,1024,0
81,81,0.07298715000000011,74.0,97.0,0,1024,0
82,82,0.07387647800000008,76.0,99.0,0,1024,0
83,83,0.07422273400000012,76.0,100.0,0,1024,0
84,84,0.07452540900000004,76.0,101.0,0,1024,0
85,85,0.0748198120000001,76.0,102.0,0,1024,0
86,86,0.07554231899999997,76.0,103.0,0,1024,0
87,87,0.07636300400000007,76.0,104.0,0,1024,0
88,88,0.07682133199999996,76.0,105.0,0,1024,0
89,89,0.07719927300000018,76.0,106.0,0,1024,0
90,90,0.07751701100000008,76.0,107.0,0,1024,0
91,91,0.07780415900000004,76.0,108.0,0,1024,0
92,92,0.07808916799999999,76.0,109.0,0,1024,0
93,93,0.07837553100000005,76.0,110.0,0,1024,0
94,94,0.078663347,76.0,111.0,0,1024,0
95,95,0.07894967300000011,76.0,112.0,0,1024,0
96,96,0.07924101900000013,76.0,113.0,0,1024,0
97,97,0.07960492100000005,76.0,114.0,0,1024,0
98,98,0.07996034299999999,76.0,115.0,0,1024,0
99,99,0.08026788400000018,76.0,116.0,0,1024,0
100,100,0.080567477,76.0,117.0,0,1024,0
101,101,0.08086746200000006,76.0,118.0,0,1024,0
102,102,0.08138799600000013,76.0,119.0,0,1024,0
103,103,0.08178530800000017,76.0,120.0,0,1024,0
104,104,0.082184912,76.0,121.0,0,1024,0
105,105,0.08247993500000006,76.0,122.0,0,1024,0
106,106,0.08277996200000004,76.0,123.0,0,1024,0
107,107,0.08310442100000004,76.0,124.0,0,1024,0
108,108,0.08341736899999996,76.0,125.0,0,1024,0
109,109,0.08371360500000002,76.0,126.0,0,1024,0
110,110,0.08404194500000006,76.0,127.0,0,1024,0
111,111,0.08437452000000012,76.0,128.0,0,1024,0
112,112,0.08468441300000018,76.0,129.0,0,1024,0
113,113,0.08502733900000004,76.0,130.0,0,1024,0
114,114,0.08532900900000007,76.0,131.0,0,1024,0
115,115,0.08570484700000014,76.0,132.0,0,1024,0
116,116,0.08611252599999997,76.0,133.0,0,1024,0
117,117,0.0864472300000001,76.0,134.0,0,1024,0
118,118,0.08692674400000011,76.0,135.0,0,1024,0
119,119,0.08731568700000003,76.0,136.0,0,1024,0
120,120,0.0876775540000001,76.0,137.0,0,1024,0
121,121,0.08806532899999997,76.0,138.0,0,1024,0
122,122,0.08874977299999998,76.0,139.0,0,1024,0
123,123,0.08939774099999998,76.0,140.0,0,1024,0
124,124,0.08993382700000008,76.0,141.0,0,1024,0
125,125,0.09031336400000001,76.0,142.0,0,1024,0
126,126,0.09065403300000008,76.0,143.0,0,1024,0
127,127,0.09102099200000002,76.0,144.0,0,1024,0
128,128,0.09137959900000014,76.0,145.0,0,1024,0
129,129,0.0974725970000001,76.0,146.0,0,1024,0
130,130,0.09785397800000006,76.0,147.0,0,1024,0
131,131,0.09819392000000016,76.0,148.0,0,1024,0
132,132,0.09853681800000014,76.0,149.0,0,1024,0
133,133,0.098845968,76.0,150.0,0,1024,0
134,134,0.09915352700000013,76.0,151.0,0,1024,0
135,135,0.09946831200000017,76.0,152.0,0,1024,0
136,136,0.09978144899999997,76.0,153.0,0,1024,0
137,137,0.10008858100000007,76.0,154.0,0,1024,0
138,138,0.10039815100000005,76.0,155.0,0,1024,0
139,139,0.10070632200000018,76.0,156.0,0,1024,0
140,140,0.10101486700000017,76.0,157.0,0,1024,0
141,141,0.10133107000000008,76.0,158.0,0,1024,0
142,142,0.10164574300000018,76.0,159.0,0,1024,0
143,143,0.10196765200000013,76.0,160.0,0,1024,0
144,144,0.10229765700000004,76.0,161.0,0,1024,0
145,145,0.10262949100000007,76.0,162.0,0,1024,0
146,146,0.10295306300000018,76.0,163.0,0,1024,0
147,147,0.10336006400000008,76.0,164.0,0,1024,0
148,148,0.10377855300000016,76.0,165.0,0,1024,0
149,149,0.1041742670000001,76.0,166.0,0,1024,0
150,150,0.10457708100000018,76.0,167.0,0,1024,0
151,151,0.10527447000000012,76.0,168.0,0,1024,0
152,152,0.10575585100000007,76.0,169.0,0,1024,0
153,153,0.10671031400000008,78.0,171.0,0,1024,0
154,154,0.10713192199999999,78.0,172.0,0,1024,0
155,155,0.10752347400000017,78.0,173.0,0,1024,0
156,156,0.10791352600000015,78.0,174.0,0,1024,0
157,157,0.10827011000000009,78.0,175.0,0,1024,0
158,158,0.10878143000000007,78.0,176.0,0,1024,0
159,159,0.10925691800000004,78.0,177.0,0,1024,0
160,160,0.109609552,78.0,178.0,0,1024,0
161,161,0.11005354600000006,78.0,179.0,0,1024,0
162,162,0.11047464900000015,78.0,180.0,0,1024,0
163,163,0.11085983600000016,78.0,181.0,0,1024,0
164,164,0.11122543200000012,78.0,182.0,0,1024,0
165,165,0.11155454500000017,78.0,183.0,0,1024,0
166,166,0.11189542799999996,78.0,184.0,0,1024,0
167,167,0.11223744000000013,78.0,185.0,0,1024,0
168,168,0.11259022500000015,78.0,186.0,0,1024,0
169,169,0.1129465300000001,78.0,187.0,0,1024,0
170,170,0.11326783000000007,78.0,188.0,0,1024,0
171,171,0.11361356300000014,78.0,189.0,0,1024,0
172,172,0.11394735000000011,78.0,190.0,0,1024,0
173,173,0.11427084100000018,78.0,191.0,0,1024,0
174,174,0.1149920900000001,78.0,192.0,0,1024,0
175,175,0.11547447500000008,78.0,193.0,0,1024,0
176,176,0.11582275600000003,78.0,194.0,0,1024,0
177,177,0.116208321,78.0,195.0,0,1024,0
178,178,0.11661542199999997,78.0,196.0,0,1024,0
179,179,0.11694470600000018,78.0,197.0,0,1024,0
180,180,0.11727175499999998,78.0,198.0,0,1024,0
181,181,0.11760305700000018,78.0,199.0,0,1024,0
182,182,0.11793149500000011,78.0,200.0,0,1024,0
183,183,0.11830114800000002,78.0,201.0,0,1024,0
184,184,0.11863666200000011,78.0,202.0,0,1024,0
185,185,0.11900799699999998,78.0,203.0,0,1024,0
186,186,0.11934715200000001,78.0,204.0,0,1024,0
187,187,0.11967822200000011,78.0,205.0,0,1024,0
188,188,0.12000818200000007,78.0,206.0,0,1024,0
189,189,0.12045955300000011,78.0,207.0,0,1024,0
190,190,0.12084210000000017,78.0,208.0,0,1024,0
191,191,0.12125318500000004,78.0,209.0,0,1024,0
192,192,0.12167428599999996,78.0,210.0,0,1024,0
193,193,0.12216738199999999,78.0,211.0,0,1024,0
194,194,0.12271845100000012,78.0,212.0,0,1024,0
195,195,0.12319182800000017,78.0,213.0,0,1024,0
196,196,0.12361872400000018,78.0,214.0,0,1024,0
197,197,0.12399583200000008,78.0,215.0,0,1024,0
198,198,0.12436313100000018,78.0,216.0,0,1024,0
199,199,0.1247422090000001,78.0,217.0,0,1024,0
200,200,0.12518356200000014,78.0,218.0,0,1024,0
201,201,0.12564802000000008,78.0,219.0,0,1024,0
202,202,0.12610730000000014,78.0,220.0,0,1024,0
203,203,0.12657194900000013,78.0,221.0,0,1024,0
204,204,0.12698891099999998,78.0,222.0,0,1024,0
205,205,0.12736630999999998,78.0,223.0,0,1024,0
206,206,0.12770881600000017,78.0,224.0,0,1024,0
207,207,0.12805002900000018,78.0,225.0,0,1024,0
208,208,0.12838643299999997,78.0,226.0,0,1024,0
209,209,0.12873431800000001,78.0,227.0,0,1024,0
210,210,0.129080992,78.0,228.0,0,1024,0
211,211,0.12943516099999997,78.0,229.0,0,1024,0
212,212,0.12980414900000015,78.0,230.0,0,1024,0
213,213,0.1301666990000001,78.0,231.0,0,1024,0
214,214,0.1305138990000001,78.0,232.0,0,1024,0
215,215,0.1311190390000001,78.0,233.0,0,1024,0
216,216,0.13158370600000002,78.0,234.0,0,1024,0
217,217,0.13198265100000017,78.0,235.0,0,1024,0
218,218,0.13238478200000015,78.0,236.0,0,1024,0
219,219,0.132777154,78.0,237.0,0,1024,0
220,220,0.13319181700000016,78.0,238.0,0,1024,0
221,221,0.13359274200000004,78.0,239.0,0,1024,0
222,222,0.13398821800000005,78.0,240.0,0,1024,0
223,223,0.1343755740000001,78.0,241.0,0,1024,0
224,224,0.1347518190000001,78.0,242.0,0,1024,0
225,225,0.135143746,78.0,243.0,0,1024,0
226,226,0.13556336300000016,78.0,244.0,0,1024,0
227,227,0.1359707240000001,78.0,245.0,0,1024,0
228,228,0.13645807700000012,78.0,246.0,0,1024,0
229,229,0.13690865600000013,78.0,247.0,0,1024,0
230,230,0.13733173200000004,78.0,248.0,0,1024,0
231,231,0.13800979700000005,78.0,249.0,0,1024,0
232,232,0.13860130800000015,78.0,250.0,0,1024,0
233,233,0.13935254600000002,78.0,251.0,0,1024,0
234,234,0.14018124600000004,78.0,252.0,0,1024,0
235,235,0.140703311,78.0,253.0,0,1024,0
236,236,0.14134678700000003,78.0,254.0,0,1024,0
237,237,0.14206489200000005,78.0,255.0,0,1024,0
238,238,0.1426025230000001,78.0,256.0,0,1024,0
239,239,0.14319692500000003,78.0,257.0,0,1024,0
240,240,0.14374952000000008,78.0,258.0,0,1024,0
241,241,0.14423059500000002,78.0,259.0,0,1024,0
242,242,0.14463189300000012,78.0,260.0,0,1024,0
243,243,0.1450278920000001,78.0,261.0,0,1024,0
244,244,0.14562484100000006,78.0,262.0,0,1024,0
245,245,0.14605541499999997,78.0,263.0,0,1024,0
246,246,0.14645158300000016,78.0,264.0,0,1024,0
247,247,0.14689466699999998,78.0,265.0,0,1024,0
248,248,0.1473404680000001,78.0,266.0,0,1024,0
249,249,0.147873637,78.0,267.0,0,1024,0
250,250,0.1484383840000001,78.0,268.0,0,1024,0
251,251,0.14886566200000018,78.0,269.0,0,1024,0
252,252,0.14932244299999997,78.0,270.0,0,1024,0
253,253,0.14988535000000014,78.0,271.0,0,1024,0
254,254,0.15037707700000014,78.0,272.0,0,1024,0
255,255,0.15080658800000002,78.0,273.0,0,1024,0
256,256,0.15121996800000015,78.0,274.0,0,1024,0
257,257,0.160318921,78.0,275.0,0,1024,0
258,258,0.16084818000000012,78.0,276.0,0,1024,0
259,259,0.16124399300000003,78.0,277.0,0,1024,0
260,260,0.16162864799999999,78.0,278.0,0,1024,0
261,261,0.16200083799999998,78.0,279.0,0,1024,0
262,262,0.16237348000000007,78.0,280.0,0,1024,0
263,263,0.16276275400000006,78.0,281.0,0,1024,0
264,264,0.16315764200000005,78.0,282.0,0,1024,0
