,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.008248619999999818,0.0,200.0,True,200,0.8,64
1,1,0.02389830400000026,243.0,402.0,True,200,0.8,64
2,2,0.04314089400000043,257.0,604.0,True,200,0.8,64
3,3,0.06333861099999982,257.0,805.0,True,200,0.8,64
4,4,0.07321032200000044,257.0,1006.0,True,200,0.8,64
5,5,0.08727049300000012,257.0,1207.0,True,200,0.8,64
6,6,0.09556995899999965,257.0,1408.0,True,200,0.8,64
7,7,0.10664305700000032,257.0,1609.0,True,200,0.8,64
8,8,0.11750888899999978,257.0,1810.0,True,200,0.8,64
9,9,0.13428020000000007,257.0,2011.0,True,200,0.8,64
10,10,0.14274940900000033,257.0,2212.0,True,200,0.8,64
11,11,0.14974748900000012,257.0,2413.0,True,200,0.8,64
12,12,0.1565396520000002,257.0,2614.0,True,200,0.8,64
13,13,0.1642196819999997,257.0,2815.0,True,200,0.8,64
14,14,0.17225038700000006,257.0,3016.0,True,200,0.8,64
15,15,0.18176337399999998,257.0,3217.0,True,200,0.8,64
16,16,0.1912042559999998,257.0,3418.0,True,200,0.8,64
17,17,0.20702825000000047,257.0,3619.0,True,200,0.8,64
18,18,0.21621008600000025,257.0,3820.0,True,200,0.8,64
19,19,0.2278582309999999,257.0,4021.0,True,200,0.8,64
20,20,0.23830870000000015,257.0,4222.0,True,200,0.8,64
21,21,0.24878077500000018,257.0,4423.0,True,200,0.8,64
22,22,0.25890138300000043,257.0,4624.0,True,200,0.8,64
23,23,0.26896378,257.0,4825.0,True,200,0.8,64
24,24,0.2802464530000002,257.0,5026.0,True,200,0.8,64
25,25,0.2910336080000002,257.0,5227.0,True,200,0.8,64
26,26,0.2990088719999999,257.0,5428.0,True,200,0.8,64
27,27,0.30554973100000016,257.0,5629.0,True,200,0.8,64
28,28,0.3119695199999999,257.0,5830.0,True,200,0.8,64
29,29,0.3195393199999996,257.0,6031.0,True,200,0.8,64
30,30,0.32627191899999985,257.0,6232.0,True,200,0.8,64
31,31,0.3329340700000003,257.0,6433.0,True,200,0.8,64
32,32,0.33953492799999996,257.0,6634.0,True,200,0.8,64
33,33,0.3502986159999999,257.0,6835.0,True,200,0.8,64
34,34,0.3566412999999997,257.0,7036.0,True,200,0.8,64
35,35,0.362889708,257.0,7237.0,True,200,0.8,64
36,36,0.3694110190000002,257.0,7438.0,True,200,0.8,64
37,37,0.3758966810000004,257.0,7639.0,True,200,0.8,64
38,38,0.38438570100000025,257.0,7840.0,True,200,0.8,64
39,39,0.39159620199999967,257.0,8041.0,True,200,0.8,64
40,40,0.398437468,257.0,8242.0,True,200,0.8,64
41,41,0.40499546900000016,257.0,8443.0,True,200,0.8,64
42,42,0.41274417500000027,257.0,8644.0,True,200,0.8,64
43,43,0.41939098799999996,257.0,8845.0,True,200,0.8,64
44,44,0.4260096070000001,257.0,9046.0,True,200,0.8,64
45,45,0.43256242300000025,257.0,9247.0,True,200,0.8,64
46,46,0.4392156009999999,257.0,9448.0,True,200,0.8,64
47,47,0.4468818050000003,257.0,9649.0,True,200,0.8,64
48,48,0.45519364000000007,257.0,9850.0,True,200,0.8,64
49,49,0.46618190900000034,257.0,10051.0,True,200,0.8,64
50,50,0.47712626700000005,257.0,10252.0,True,200,0.8,64
51,51,0.49174649900000045,257.0,10453.0,True,200,0.8,64
52,52,0.5053093300000002,257.0,10654.0,True,200,0.8,64
53,53,0.5192455980000004,257.0,10855.0,True,200,0.8,64
54,54,0.5278473840000002,257.0,11056.0,True,200,0.8,64
55,55,0.5342014600000002,257.0,11257.0,True,200,0.8,64
56,56,0.540632617,257.0,11458.0,True,200,0.8,64
57,57,0.5471338929999998,257.0,11659.0,True,200,0.8,64
58,58,0.5535881900000001,257.0,11860.0,True,200,0.8,64
59,59,0.5598409169999998,257.0,12061.0,True,200,0.8,64
60,60,0.5662766550000002,257.0,12262.0,True,200,0.8,64
61,61,0.5726487200000001,257.0,12463.0,True,200,0.8,64
62,62,0.5796639140000002,257.0,12664.0,True,200,0.8,64
63,63,0.587303425,257.0,12865.0,True,200,0.8,64
64,64,0.5946764849999999,257.0,13066.0,True,200,0.8,64
