,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,9.934300000002949e-05,132.0,0.0,0,8192,0
1,1,0.005702937000000019,132.0,1.0,0,8192,0
2,2,0.009057104000000038,132.0,2.0,0,8192,0
3,3,0.012956528999999994,132.0,3.0,0,8192,0
4,4,0.013067127000000012,132.0,4.0,0,8192,0
5,5,0.016421862000000065,132.0,5.0,0,8192,0
6,6,0.01653433500000001,132.0,6.0,0,8192,0
7,7,0.016572412000000036,132.0,7.0,0,8192,0
8,8,0.016608803999999977,132.0,8.0,0,8192,0
9,9,0.019885076999999973,132.0,9.0,0,8192,0
10,10,0.01996689000000007,132.0,10.0,0,8192,0
11,11,0.020048911000000058,132.0,11.0,0,8192,0
12,12,0.020121616000000064,132.0,12.0,0,8192,0
13,13,0.02015712000000003,132.0,13.0,0,8192,0
14,14,0.02026956000000002,132.0,14.0,0,8192,0
15,15,0.02034450600000004,132.0,15.0,0,8192,0
16,16,0.02041736000000005,132.0,16.0,0,8192,0
17,17,0.024111364000000024,132.0,17.0,0,8192,0
18,18,0.024165761000000008,132.0,18.0,0,8192,0
19,19,0.02421078600000004,132.0,19.0,0,8192,0
20,20,0.024253954000000078,132.0,20.0,0,8192,0
21,21,0.02429689800000001,132.0,21.0,0,8192,0
22,22,0.024344663000000044,132.0,22.0,0,8192,0
23,23,0.024390891999999997,132.0,23.0,0,8192,0
24,24,0.02443462800000007,132.0,24.0,0,8192,0
25,25,0.02448103200000007,132.0,25.0,0,8192,0
26,26,0.02452680000000007,132.0,26.0,0,8192,0
27,27,0.02457815200000002,132.0,27.0,0,8192,0
28,28,0.02462541100000004,132.0,28.0,0,8192,0
29,29,0.02467140099999998,132.0,29.0,0,8192,0
30,30,0.024717575000000047,132.0,30.0,0,8192,0
31,31,0.024764322000000005,132.0,31.0,0,8192,0
32,32,0.024811990999999978,132.0,32.0,0,8192,0
33,33,0.02840362299999999,132.0,33.0,0,8192,0
34,34,0.028465799000000014,132.0,34.0,0,8192,0
35,35,0.028517899999999985,132.0,35.0,0,8192,0
36,36,0.028569022,132.0,36.0,0,8192,0
37,37,0.028620057000000032,132.0,37.0,0,8192,0
38,38,0.028676994999999983,132.0,38.0,0,8192,0
39,39,0.028731108000000005,132.0,39.0,0,8192,0
40,40,0.028783724000000066,132.0,40.0,0,8192,0
41,41,0.02884118899999999,132.0,41.0,0,8192,0
42,42,0.02889237,132.0,42.0,0,8192,0
43,43,0.028947232000000045,132.0,43.0,0,8192,0
44,44,0.029004169000000024,132.0,44.0,0,8192,0
45,45,0.029065922000000022,132.0,45.0,0,8192,0
46,46,0.02912074500000006,132.0,46.0,0,8192,0
47,47,0.02917418100000002,132.0,47.0,0,8192,0
48,48,0.029227148000000036,132.0,48.0,0,8192,0
49,49,0.029282554000000016,132.0,49.0,0,8192,0
50,50,0.029339858000000052,132.0,50.0,0,8192,0
51,51,0.029400497999999997,132.0,51.0,0,8192,0
52,52,0.02945687000000008,132.0,52.0,0,8192,0
53,53,0.02951567200000005,132.0,53.0,0,8192,0
54,54,0.029573028000000057,132.0,54.0,0,8192,0
55,55,0.029633491000000012,132.0,55.0,0,8192,0
56,56,0.029691515999999973,132.0,56.0,0,8192,0
57,57,0.029755075000000075,132.0,57.0,0,8192,0
58,58,0.029812958000000056,132.0,58.0,0,8192,0
59,59,0.029874975999999998,132.0,59.0,0,8192,0
60,60,0.029934450000000057,132.0,60.0,0,8192,0
61,61,0.02999579100000005,132.0,61.0,0,8192,0
62,62,0.030058268,132.0,62.0,0,8192,0
63,63,0.030119812000000024,132.0,63.0,0,8192,0
64,64,0.030183497000000004,132.0,64.0,0,8192,0
65,65,0.03417298000000002,132.0,65.0,0,8192,0
66,66,0.03425476900000002,132.0,66.0,0,8192,0
67,67,0.03432625200000006,132.0,67.0,0,8192,0
68,68,0.03439178799999998,132.0,68.0,0,8192,0
69,69,0.034457210000000016,132.0,69.0,0,8192,0
70,70,0.03452397900000004,132.0,70.0,0,8192,0
71,71,0.034591762000000026,132.0,71.0,0,8192,0
72,72,0.03465846100000003,132.0,72.0,0,8192,0
73,73,0.03473066200000008,132.0,73.0,0,8192,0
74,74,0.034798314,132.0,74.0,0,8192,0
75,75,0.034865142000000016,132.0,75.0,0,8192,0
76,76,0.03494129899999998,132.0,76.0,0,8192,0
77,77,0.035012946000000045,132.0,77.0,0,8192,0
78,78,0.03508315800000006,132.0,78.0,0,8192,0
79,79,0.035151350000000026,132.0,79.0,0,8192,0
80,80,0.03522314800000004,132.0,80.0,0,8192,0
81,81,0.03529467399999997,132.0,81.0,0,8192,0
82,82,0.03536523199999997,132.0,82.0,0,8192,0
83,83,0.03543514400000003,132.0,83.0,0,8192,0
84,84,0.035505039000000016,132.0,84.0,0,8192,0
85,85,0.035574976000000036,132.0,85.0,0,8192,0
86,86,0.03564562300000007,132.0,86.0,0,8192,0
87,87,0.03571738300000005,132.0,87.0,0,8192,0
88,88,0.035792075000000034,132.0,88.0,0,8192,0
89,89,0.03586667700000001,132.0,89.0,0,8192,0
90,90,0.035940582000000054,132.0,90.0,0,8192,0
91,91,0.03601618699999998,132.0,91.0,0,8192,0
92,92,0.03609260000000003,132.0,92.0,0,8192,0
93,93,0.03616685399999997,132.0,93.0,0,8192,0
94,94,0.03624149100000007,132.0,94.0,0,8192,0
95,95,0.03631874700000004,132.0,95.0,0,8192,0
96,96,0.03639412100000006,132.0,96.0,0,8192,0
97,97,0.036470496000000074,132.0,97.0,0,8192,0
98,98,0.03655599500000006,132.0,98.0,0,8192,0
99,99,0.036632946,132.0,99.0,0,8192,0
100,100,0.03671031499999999,132.0,100.0,0,8192,0
101,101,0.036787542000000006,132.0,101.0,0,8192,0
102,102,0.03686475899999997,132.0,102.0,0,8192,0
103,103,0.03694516000000003,132.0,103.0,0,8192,0
104,104,0.037024767000000014,132.0,104.0,0,8192,0
105,105,0.037104081000000066,132.0,105.0,0,8192,0
106,106,0.03719293400000001,132.0,106.0,0,8192,0
107,107,0.03727368600000003,132.0,107.0,0,8192,0
108,108,0.03735430000000006,132.0,108.0,0,8192,0
109,109,0.037437367,132.0,109.0,0,8192,0
110,110,0.03752112200000002,132.0,110.0,0,8192,0
111,111,0.03760876099999999,132.0,111.0,0,8192,0
112,112,0.037695784000000065,132.0,112.0,0,8192,0
113,113,0.037783133000000024,132.0,113.0,0,8192,0
114,114,0.03786811600000006,132.0,114.0,0,8192,0
115,115,0.03795334500000003,132.0,115.0,0,8192,0
116,116,0.03804017100000001,132.0,116.0,0,8192,0
117,117,0.038127652999999984,132.0,117.0,0,8192,0
118,118,0.038215174000000074,132.0,118.0,0,8192,0
119,119,0.03830227800000008,132.0,119.0,0,8192,0
120,120,0.038396504000000053,132.0,120.0,0,8192,0
121,121,0.038488347000000034,132.0,121.0,0,8192,0
122,122,0.03862151300000005,132.0,122.0,0,8192,0
123,123,0.038708960000000014,132.0,123.0,0,8192,0
124,124,0.03879857200000003,132.0,124.0,0,8192,0
125,125,0.038889041999999985,132.0,125.0,0,8192,0
126,126,0.03898009200000008,132.0,126.0,0,8192,0
127,127,0.039074233000000014,132.0,127.0,0,8192,0
128,128,0.03916507300000005,132.0,128.0,0,8192,0
129,129,0.04344331400000001,132.0,129.0,0,8192,0
130,130,0.043595447000000065,132.0,130.0,0,8192,0
131,131,0.04377879000000007,132.0,131.0,0,8192,0
132,132,0.04388160100000005,132.0,132.0,0,8192,0
133,133,0.04398770699999999,132.0,133.0,0,8192,0
134,134,0.044086519000000046,132.0,134.0,0,8192,0
135,135,0.04418424300000001,132.0,135.0,0,8192,0
136,136,0.04427993699999999,132.0,136.0,0,8192,0
137,137,0.04437558800000008,132.0,137.0,0,8192,0
138,138,0.04447983200000005,132.0,138.0,0,8192,0
