,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,132.0,0,9.934300000002949e-05,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
1,1,132.0,1,0.005702937000000019,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
2,2,132.0,2,0.009057104000000038,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
3,4,132.0,4,0.013067127000000012,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
4,8,132.0,8,0.016608803999999977,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
5,16,132.0,16,0.02041736000000005,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
6,32,132.0,32,0.024811990999999978,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
7,64,132.0,64,0.030183497000000004,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
8,128,132.0,128,0.03916507300000005,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
9,256,132.0,256,0.05915983600000008,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
10,512,132.0,512,0.1202710050000001,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
11,1024,132.0,1000,0.31670871600000006,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
12,2048,132.0,1000,0.31670871600000006,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
13,4096,132.0,1000,0.31670871600000006,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
14,8192,132.0,1000,0.31670871600000006,"[0, 0, 1, 1, 0, 0, 1, 0, 0]",0,8192,0
