,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00011498400000009568,0.0,0.0,1,64
1,1,0.00399095000000016,0.0,2.0,1,64
2,2,0.007775051000000088,0.0,4.0,1,64
3,3,0.011495801000000139,0.0,6.0,1,64
4,4,0.011634469000000092,0.0,8.0,1,64
5,5,0.015531202000000022,215.0,10.0,1,64
6,6,0.01559790800000016,215.0,11.0,1,64
7,7,0.015649560000000173,215.0,12.0,1,64
8,8,0.015696910000000175,215.0,13.0,1,64
9,9,0.019927513000000063,215.0,14.0,1,64
10,10,0.0200290030000001,215.0,15.0,1,64
11,11,0.02008634900000006,215.0,16.0,1,64
12,12,0.020140723000000138,215.0,17.0,1,64
13,13,0.020192682000000017,215.0,18.0,1,64
14,14,0.02024592600000008,215.0,19.0,1,64
15,15,0.02033364000000004,215.0,20.0,1,64
16,16,0.020496732000000017,215.0,21.0,1,64
17,17,0.02472597200000015,215.0,22.0,1,64
18,18,0.024795536000000062,215.0,23.0,1,64
19,19,0.024852894000000125,215.0,24.0,1,64
20,20,0.02490824199999997,215.0,25.0,1,64
21,21,0.024960363000000152,215.0,26.0,1,64
22,22,0.025012693000000086,215.0,27.0,1,64
23,23,0.025065145999999983,215.0,28.0,1,64
24,24,0.025290143000000098,215.0,29.0,1,64
25,25,0.025371823000000182,215.0,30.0,1,64
26,26,0.025433838000000097,215.0,31.0,1,64
27,27,0.025492865000000142,215.0,32.0,1,64
28,28,0.025549373000000042,215.0,33.0,1,64
29,29,0.025608470000000105,215.0,34.0,1,64
30,30,0.02566618300000001,215.0,35.0,1,64
31,31,0.025726676000000115,215.0,36.0,1,64
32,32,0.025787541000000136,215.0,37.0,1,64
33,33,0.03084513500000008,215.0,38.0,1,64
34,34,0.03100021900000005,215.0,39.0,1,64
35,35,0.031083694999999967,215.0,40.0,1,64
36,36,0.031143502000000156,215.0,41.0,1,64
37,37,0.031205601000000138,215.0,42.0,1,64
38,38,0.03126483800000002,215.0,43.0,1,64
39,39,0.03132496400000018,215.0,44.0,1,64
40,40,0.03138499300000008,215.0,45.0,1,64
41,41,0.03144545800000009,215.0,46.0,1,64
42,42,0.031505965000000025,215.0,47.0,1,64
43,43,0.03156577500000002,215.0,48.0,1,64
44,44,0.031626000000000154,215.0,49.0,1,64
45,45,0.031687664000000115,215.0,50.0,1,64
46,46,0.03175117500000013,215.0,51.0,1,64
47,47,0.03181599000000013,215.0,52.0,1,64
48,48,0.03188151000000006,215.0,53.0,1,64
49,49,0.03194444400000007,215.0,54.0,1,64
50,50,0.032010193000000076,215.0,55.0,1,64
51,51,0.03207463700000002,215.0,56.0,1,64
52,52,0.03214122500000016,215.0,57.0,1,64
53,53,0.03220778600000007,215.0,58.0,1,64
54,54,0.03227398100000012,215.0,59.0,1,64
55,55,0.03233955399999999,215.0,60.0,1,64
56,56,0.0324051030000001,215.0,61.0,1,64
57,57,0.03247120300000006,215.0,62.0,1,64
58,58,0.032538065000000005,215.0,63.0,1,64
59,59,0.032606070000000154,215.0,64.0,1,64
60,60,0.032676509000000076,215.0,65.0,1,64
61,61,0.032747841000000166,215.0,66.0,1,64
62,62,0.032816756000000114,215.0,67.0,1,64
63,63,0.03288599700000017,215.0,68.0,1,64
64,64,0.03296653100000002,215.0,69.0,1,64
